XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
21.8125,30.4375,21.387590408325195,29.90625,54.0,23.140625,27.875,29.9375,27.90625
21.84375,31.625,20.917953491210938,29.6875,53.25,23.21875,28.53125,29.6875,27.015625
21.375,31.21875,21.222583770751953,29.546875,54.25,23.46875,28.640625,29.609375,27.015625
21.34375,31.375,20.8671817779541,29.078125,54.0,23.46875,28.8125,29.375,26.75
21.3125,31.171875,20.51177978515625,29.1875,54.125,23.734375,29.171875,29.8125,26.3125
21.4375,31.875,20.68947982788086,29.21875,53.0,23.703125,29.046875,29.53125,25.65625
20.828125,31.875,20.664094924926758,29.34375,54.125,23.96875,29.671875,29.125,26.15625
21.375,31.828125,21.01949691772461,29.28125,53.125,24.28125,29.546875,29.625,26.25
21.375,31.375,20.524471282958984,29.5625,54.1875,24.734375,29.390625,30.46875,26.1875
21.375,31.75,19.4963436126709,28.984375,54.375,24.21875,28.84375,30.125,25.84375
20.6875,31.484375,20.00406265258789,28.6875,56.09375,24.265625,29.3125,30.3125,25.8125
20.3125,31.3125,19.750202178955078,27.796875,56.25,23.84375,29.0,30.265625,25.25
20.21875,31.875,19.597888946533203,27.90625,56.75,24.3125,29.09375,30.125,25.078125
20.21875,31.03125,19.585195541381836,27.296875,55.0,23.78125,28.90625,30.0625,24.96875
20.234375,31.421875,19.445573806762695,27.59375,53.828125,24.0625,29.0,29.5,25.125
19.765625,31.171875,19.750202178955078,28.25,54.1875,24.375,28.90625,29.21875,25.125
20.5625,30.953125,19.940597534179688,28.375,53.65625,24.75,28.125,29.15625,25.84375
20.515625,30.6875,19.78828239440918,28.734375,54.1875,24.75,28.359375,29.03125,25.75
20.140625,30.75,19.775588989257812,28.234375,53.125,24.96875,27.90625,29.46875,25.3125
19.640625,30.34375,19.293258666992188,28.28125,54.1875,25.234375,27.25,29.5625,25.59375
20.1875,30.53125,19.64866065979004,28.65625,54.5625,25.28125,28.0625,29.5,25.9375
20.28125,29.265625,19.864439010620117,28.40625,52.8125,25.34375,28.3125,29.6875,26.25
19.75,29.5625,20.016754150390625,28.328125,53.625,25.375,28.34375,29.625,26.4375
19.65625,29.703125,20.359464645385742,28.46875,54.5,25.203125,28.640625,29.875,27.71875
19.9375,29.84375,20.410236358642578,28.5,53.90625,25.4375,28.640625,29.625,28.125
21.0,30.90625,20.51177978515625,29.046875,53.46875,25.453125,28.375,29.296875,28.328125
20.890625,30.5,20.8037166595459,29.15625,54.84375,24.9375,28.5,29.84375,28.40625
21.125,30.03125,20.600629806518555,29.390625,55.90625,24.5625,28.625,29.9375,27.875
20.703125,30.0,20.94333839416504,29.6875,56.9375,24.28125,28.234375,30.40625,28.21875
20.375,29.609375,20.54985809326172,29.859375,57.40625,24.40625,28.0,30.03125,28.0625
20.0625,29.875,20.587936401367188,29.9375,56.25,24.4375,27.890625,29.5625,28.125
20.0625,29.796875,20.51177978515625,29.6875,55.0,24.46875,28.171875,29.75,27.765625
19.90625,29.5,21.032188415527344,30.046875,56.15625,24.0625,27.71875,30.21875,27.6875
20.0,28.9375,20.968725204467773,30.0,54.9375,24.125,28.0,29.46875,27.625
20.03125,28.640625,21.095653533935547,29.78125,53.59375,24.625,27.90625,29.1875,27.1875
19.78125,28.375,21.13373374938965,29.84375,54.5,24.1875,28.140625,29.203125,27.25
19.65625,28.609375,21.032188415527344,29.46875,53.78125,24.203125,27.875,28.96875,27.15625
19.875,29.59375,21.095653533935547,29.265625,52.21875,24.375,27.765625,29.15625,27.375
19.71875,29.375,20.638708114624023,28.28125,50.28125,24.578125,27.59375,28.84375,26.53125
19.8125,29.1875,20.994110107421875,28.71875,51.3125,24.3125,27.671875,29.125,26.0
19.828125,29.734375,21.13373374938965,28.9375,50.71875,25.125,28.28125,29.375,26.375
19.953125,30.296875,21.108346939086914,28.8125,50.5,25.109375,28.75,29.5,26.375
20.171875,29.875,21.66683578491211,28.859375,51.46875,25.25,28.796875,29.65625,26.25
19.984375,30.0,22.504568099975586,29.21875,51.46875,25.0625,28.640625,30.265625,26.140625
20.375,30.390625,22.56803321838379,30.078125,52.53125,24.75,29.203125,30.03125,26.84375
20.875,30.453125,22.56803321838379,30.34375,52.625,24.859375,28.4375,30.125,27.640625
20.890625,31.0,22.41571807861328,30.609375,52.8125,23.84375,27.984375,29.84375,27.15625
20.578125,31.28125,22.288789749145508,30.53125,51.6875,24.265625,27.984375,29.90625,26.375
21.0,31.25,22.631498336791992,30.875,51.875,24.4375,28.296875,30.09375,26.75
21.0,31.6875,22.92343521118164,31.1875,52.9375,24.515625,28.46875,30.4375,27.09375
